Training START
iter 32800:, hard_loss_metric=0.00247401, full_loss_metric=0.05953676, full_loss_num=12.87097645, mean_dist=5.03108454, lr=0.000100, hard or full='full'
0:25:39.099547
iter 33000:, hard_loss_metric=0.00493056, full_loss_metric=0.07599092, full_loss_num=26.90691376, mean_dist=5.06384659, lr=0.000100, hard or full='full'
iter 33200:, hard_loss_metric=0.00685371, full_loss_metric=0.10543790, full_loss_num=37.38595581, mean_dist=4.93976212, lr=0.000100, hard or full='full'
iter 33400:, hard_loss_metric=0.00607645, full_loss_metric=0.08455536, full_loss_num=31.33636665, mean_dist=4.94994545, lr=0.000100, hard or full='full'
iter 33600:, hard_loss_metric=0.00540581, full_loss_metric=0.08584388, full_loss_num=28.15707016, mean_dist=5.01645088, lr=0.000100, hard or full='full'
iter 33800:, hard_loss_metric=0.00386430, full_loss_metric=0.07324193, full_loss_num=18.34039116, mean_dist=4.99873161, lr=0.000100, hard or full='full'
iter 34000:, hard_loss_metric=0.00257938, full_loss_metric=0.05424339, full_loss_num=12.70304680, mean_dist=5.05599117, lr=0.000100, hard or full='full'
iter 34200:, hard_loss_metric=0.00358970, full_loss_metric=0.06787220, full_loss_num=19.20761681, mean_dist=5.05498219, lr=0.000100, hard or full='full'
iter 34400:, hard_loss_metric=0.00429852, full_loss_metric=0.07450983, full_loss_num=21.66716766, mean_dist=5.05765533, lr=0.000100, hard or full='full'
iter 34600:, hard_loss_metric=0.00191147, full_loss_metric=0.04510025, full_loss_num=8.93062496, mean_dist=5.07877970, lr=0.000100, hard or full='full'
iter 34800:, hard_loss_metric=0.00192222, full_loss_metric=0.04720204, full_loss_num=9.12021446, mean_dist=5.08977890, lr=0.000100, hard or full='full'
iter 35000:, hard_loss_metric=0.00363732, full_loss_metric=0.07074623, full_loss_num=17.91179657, mean_dist=5.08211565, lr=0.000100, hard or full='full'
iter 35200:, hard_loss_metric=0.00396575, full_loss_metric=0.07468767, full_loss_num=20.61494064, mean_dist=5.05858898, lr=0.000100, hard or full='full'
iter 35400:, hard_loss_metric=0.00435708, full_loss_metric=0.08033732, full_loss_num=19.15578079, mean_dist=5.07340860, lr=0.000100, hard or full='full'
iter 35600:, hard_loss_metric=0.00332636, full_loss_metric=0.06176715, full_loss_num=15.51064491, mean_dist=5.07009172, lr=0.000100, hard or full='full'
iter 35800:, hard_loss_metric=0.00234112, full_loss_metric=0.05470549, full_loss_num=11.38404274, mean_dist=5.05897665, lr=0.000100, hard or full='full'
0:25:28.338105
